epoch,train_loss,train_auroc_y0,train_auroc_y1,train_auroc_prop,model_type,generation_mode,scenario_idx,repeat_idx,val_loss,val_auroc_y0,val_auroc_y1,val_auroc_prop,oracle_mode
1,1.2963814234733582,0.5346266166040885,0.4364432367149758,0.47968412740194777,generator,phi_linear,0,0,,,,,
2,1.1358184540271759,0.5066750104297038,0.4867581090407177,0.5383100816004212,generator,phi_linear,0,0,,,,,
3,1.1267644250392914,0.49895702962035876,0.46105072463768115,0.5704869702553304,generator,phi_linear,0,0,,,,,
4,1.1211680018901824,0.5584063412599083,0.5106862491373361,0.5367201895235588,generator,phi_linear,0,0,,,,,
5,1.1219484007358551,0.49707968293700466,0.5243486887508627,0.5488496972887602,generator,phi_linear,0,0,,,,,
6,1.113188123703003,0.5314977054651647,0.5234267167011732,0.5992734930244801,generator,phi_linear,0,0,,,,,
7,1.107585333585739,0.5757196495619524,0.5502825224292616,0.586733350881811,generator,phi_linear,0,0,,,,,
8,1.104811840057373,0.502711722987067,0.5502933057280883,0.6141405633061332,generator,phi_linear,0,0,,,,,
9,1.1005975270271302,0.5196078431372548,0.580346359558316,0.6261173993156093,generator,phi_linear,0,0,,,,,
10,1.1020568972826004,0.5237797246558198,0.571353088336784,0.6509713082390103,generator,phi_linear,0,0,,,,,
11,1.0879126054048538,0.5091781393408428,0.5884122670807453,0.6612266385891024,generator,phi_linear,0,0,,,,,
12,1.084910673201084,0.48226950354609927,0.6099249482401656,0.6680389576204264,generator,phi_linear,0,0,,,,,
13,1.0878749603033067,0.4436795994993742,0.6038970841959973,0.6709344564359041,generator,phi_linear,0,0,,,,,
14,1.073793044090271,0.5337922403003754,0.6218944099378882,0.6982153198210055,generator,phi_linear,0,0,,,,,
15,1.0627216005325317,0.5627868168544014,0.6178183229813665,0.7131929455119769,generator,phi_linear,0,0,,,,,
16,1.0578150910139084,0.5942845223195661,0.6217973602484472,0.7255909449855226,generator,phi_linear,0,0,,,,,
17,1.0529811936616897,0.5861493533583645,0.6372929606625258,0.7318768096867596,generator,phi_linear,0,0,,,,,
18,1.0410574758052826,0.6072173550271172,0.647741977225673,0.7474598578573308,generator,phi_linear,0,0,,,,,
19,1.0301958203315735,0.6151439299123905,0.6316209454796412,0.7626006843906291,generator,phi_linear,0,0,,,,,
20,1.0409499502182007,0.565081351689612,0.6480600845410627,0.7411002895498815,generator,phi_linear,0,0,,,,,
21,1.0154661238193512,0.6397580308719232,0.6621484644582472,0.76224269544617,generator,phi_linear,0,0,,,,,
22,1.0191691917181016,0.6243220692532332,0.6344299948240166,0.763485127665175,generator,phi_linear,0,0,,,,,
23,1.0144200617074965,0.5857321652065082,0.6729641131815045,0.7770413266649119,generator,phi_linear,0,0,,,,,
24,1.030378994345665,0.5947017104714226,0.6748188405797102,0.7859120821268755,generator,phi_linear,0,0,,,,,
25,1.0287720477581024,0.5705047976637464,0.6607358523119393,0.7727717820479074,generator,phi_linear,0,0,,,,,
26,0.9803063726425171,0.6879432624113475,0.6771588164251208,0.7955672545406686,generator,phi_linear,0,0,,,,,
27,0.9870529875159264,0.6182728410513141,0.68522472394755,0.8196156883390366,generator,phi_linear,0,0,,,,,
28,1.027244445681572,0.613057989153108,0.689192977915804,0.8010107923137668,generator,phi_linear,0,0,,,,,
29,0.9687150403857231,0.6214017521902379,0.6991890959282264,0.8301763622005791,generator,phi_linear,0,0,,,,,
30,0.9616216352581978,0.6364205256570714,0.6965148378191856,0.8274493287707293,generator,phi_linear,0,0,,,,,
31,0.9438248500227928,0.6543596161869004,0.6986067977915803,0.8458541721505659,generator,phi_linear,0,0,,,,,
32,1.007406346797943,0.613892365456821,0.7079559178743962,0.821479336667544,generator,phi_linear,0,0,,,,,
33,0.9265390747785568,0.6476846057571966,0.7031573498964804,0.847128191629376,generator,phi_linear,0,0,,,,,
34,0.920710083246231,0.6622861910721736,0.7147655710835058,0.8585417215056594,generator,phi_linear,0,0,,,,,
35,0.9980220991373062,0.5903212348769294,0.7462905452035887,0.8305659384048434,generator,phi_linear,0,0,,,,,
36,0.9480273878574371,0.6312056737588653,0.7126790027605245,0.8288496972887602,generator,phi_linear,0,0,,,,,
37,0.9073340871930122,0.6418439716312057,0.7295979986197377,0.854193208739142,generator,phi_linear,0,0,,,,,
38,0.9061760294437409,0.639549436795995,0.7601470841959973,0.8436851803106081,generator,phi_linear,0,0,,,,,
39,0.8885622423887253,0.6458072590738423,0.7464307280883368,0.8771360884443276,generator,phi_linear,0,0,,,,,
40,0.90355792760849,0.6572799332498958,0.7551436335403727,0.856277967886286,generator,phi_linear,0,0,,,,,
41,0.875512423813343,0.6714643304130163,0.7765053485162181,0.866649118188997,generator,phi_linear,0,0,,,,,
42,0.8744482997059823,0.6230705047976637,0.7793197895100069,0.856067386154251,generator,phi_linear,0,0,,,,,
43,0.8773068934679031,0.6149353358364623,0.7647407694962043,0.8745301395103975,generator,phi_linear,0,0,,,,,
44,0.879866156578064,0.6307884856070087,0.7645251035196687,0.8593103448275862,generator,phi_linear,0,0,,,,,
45,0.8849220433831215,0.6591572799332499,0.7675875603864735,0.8607844169518295,generator,phi_linear,0,0,,,,,
46,0.8793793568015098,0.6533166458072591,0.7692158385093167,0.8842011055540931,generator,phi_linear,0,0,,,,,
47,0.8766731503605842,0.6458072590738423,0.7727419772256727,0.8626375361937353,generator,phi_linear,0,0,,,,,
48,0.8562479674816131,0.7094284522319566,0.7879032953761216,0.8617741510923927,generator,phi_linear,0,0,,,,,
49,0.8679624232649803,0.6689612015018774,0.7814548826777087,0.8724295867333509,generator,phi_linear,0,0,,,,,
50,0.8696451777219772,0.6610346266166041,0.7589609213250518,0.8756514872334825,generator,phi_linear,0,0,,,,,
1,1.272292701601982,0.476976976976977,0.5011576227390181,0.5413951039747302,evaluator,phi_linear,0,0,1.436462812423706,0.4026315789473684,0.5912698412698413,0.4760142543859649,False
2,1.1583522188663482,0.45795795795795796,0.5316692506459948,0.5289128718083707,evaluator,phi_linear,0,0,1.2273024463653563,0.36578947368421055,0.5873015873015873,0.4824561403508772,False
3,1.1220121419429778,0.5908408408408409,0.5177777777777778,0.5707501974203738,evaluator,phi_linear,0,0,1.2234898066520692,0.3684210526315789,0.5695389266817837,0.4831414473684211,False
4,1.1177894753217696,0.5362862862862863,0.5277312661498708,0.570260594893393,evaluator,phi_linear,0,0,1.2001495337486268,0.3473684210526316,0.5478080120937264,0.4950657894736842,False
5,1.1138167989253998,0.47822822822822825,0.5193023255813954,0.6012319031324033,evaluator,phi_linear,0,0,1.2016132164001465,0.3842105263157895,0.5258881330309901,0.5111019736842105,False
6,1.1062768310308457,0.5370370370370371,0.5748682170542636,0.5907238747038694,evaluator,phi_linear,0,0,1.2256422853469848,0.3657894736842106,0.5504535147392291,0.49739583333333337,False
7,1.1006561928987504,0.5107607607607607,0.6083617571059431,0.6169728876020005,evaluator,phi_linear,0,0,1.2345993494987488,0.4105263157894737,0.5612244897959183,0.506030701754386,False
8,1.1076105558872222,0.5387887887887888,0.6008372093023256,0.6281442484864438,evaluator,phi_linear,0,0,1.2133083963394165,0.4157894736842105,0.5326908541194255,0.49862938596491224,False
9,1.0936077636480332,0.5435435435435435,0.5833281653746769,0.64745459331403,evaluator,phi_linear,0,0,1.2306596446037292,0.3921052631578947,0.5394935752078609,0.4862938596491228,False
10,1.0879823881387711,0.5285285285285285,0.5944082687338501,0.6661489865754147,evaluator,phi_linear,0,0,1.2123498916625977,0.4052631578947369,0.5406273620559335,0.5083607456140351,False
11,1.0832734739780425,0.5993493493493494,0.6204651162790699,0.6706396420110555,evaluator,phi_linear,0,0,1.2055140662193298,0.4789473684210526,0.5202191987906273,0.5361842105263157,False
12,1.0815209972858428,0.5953453453453453,0.6183204134366925,0.6832376941300342,evaluator,phi_linear,0,0,1.227378807067871,0.45526315789473687,0.5372260015117158,0.5176809210526316,False
13,1.077047273516655,0.6026026026026027,0.6053023255813953,0.685854172150566,evaluator,phi_linear,0,0,1.2107885265350342,0.4447368421052632,0.5464852607709751,0.5084978070175439,False
