epoch,train_loss,train_auroc_y0,train_auroc_y1,train_auroc_prop,model_type,generation_mode,scenario_idx,repeat_idx,val_loss,val_auroc_y0,val_auroc_y1,val_auroc_prop,oracle_mode
1,1.3064955216646195,0.413661858974359,0.5148057533435001,0.4748590615155033,generator,phi_linear,0,0,,,,,
2,1.1601158332824708,0.4741586538461538,0.5067637991376568,0.508445945945946,generator,phi_linear,0,0,,,,,
3,1.1348310297727584,0.5012019230769231,0.5136757106651892,0.5528830210578677,generator,phi_linear,0,0,,,,,
4,1.1336337620019912,0.4354967948717948,0.519424665649994,0.5496600895373902,generator,phi_linear,0,0,,,,,
5,1.1388436394929886,0.554286858974359,0.5182123383106411,0.5492870170784281,generator,phi_linear,0,0,,,,,
6,1.1290403360128403,0.43028846153846156,0.5128364071225603,0.5612875145083733,generator,phi_linear,0,0,,,,,
7,1.1243246686458588,0.5016025641025641,0.5387999605033628,0.5909053225004146,generator,phi_linear,0,0,,,,,
8,1.113083707690239,0.5030048076923077,0.5376424896047045,0.6212485491626596,generator,phi_linear,0,0,,,,,
9,1.1104744619131088,0.42708333333333337,0.5558383709831372,0.6288032664566408,generator,phi_linear,0,0,,,,,
10,1.1021354919672013,0.4389022435897436,0.5802824009566964,0.6563380865528106,generator,phi_linear,0,0,,,,,
11,1.1002856928110123,0.4370993589743589,0.5741055657344729,0.6913550820759409,generator,phi_linear,0,0,,,,,
12,1.0890381968021392,0.4557291666666667,0.5867444896705323,0.6811059525783452,generator,phi_linear,0,0,,,,,
13,1.0896683931350708,0.4907852564102564,0.5774079234642939,0.6872201956557784,generator,phi_linear,0,0,,,,,
14,1.074726774096489,0.44611378205128205,0.6014569870648513,0.7088480351517161,generator,phi_linear,0,0,,,,,
15,1.0709248614311218,0.4555288461538462,0.5922740188925582,0.7088532167136461,generator,phi_linear,0,0,,,,,
16,1.0711723482608795,0.48197115384615385,0.5888290344169309,0.7118170701376223,generator,phi_linear,0,0,,,,,
17,1.0558113604784012,0.47095352564102566,0.6172007855442307,0.7283721605040623,generator,phi_linear,0,0,,,,,
18,1.0420515590906143,0.4707532051282052,0.628402470734089,0.7505129746310728,generator,phi_linear,0,0,,,,,
19,1.045705960392952,0.4499198717948718,0.6322643641589959,0.7510259492621456,generator,phi_linear,0,0,,,,,
20,1.0370058143138885,0.46053685897435903,0.6398564955511427,0.752953490300116,generator,phi_linear,0,0,,,,,
21,1.0201832973957061,0.49258814102564097,0.6324289334810801,0.7790063836842979,generator,phi_linear,0,0,,,,,
22,1.0185230797529221,0.47576121794871795,0.632626416667581,0.7829650969988393,generator,phi_linear,0,0,,,,,
23,1.007326238155365,0.49919871794871795,0.6579536353363249,0.7865611009782788,generator,phi_linear,0,0,,,,,
24,1.019554346203804,0.41846955128205127,0.6566809659122077,0.8083236610843973,generator,phi_linear,0,0,,,,,
25,0.9899699100852013,0.4765625,0.6917945736008865,0.7995409136129995,generator,phi_linear,0,0,,,,,
26,0.9623258566856384,0.47916666666666674,0.6961062898394901,0.8271120046426796,generator,phi_linear,0,0,,,,,
27,0.9700811827182769,0.4887820512820513,0.6743392541718324,0.8310499917095008,generator,phi_linear,0,0,,,,,
28,0.9530445390939712,0.48317307692307687,0.675140158205975,0.8541183054219865,generator,phi_linear,0,0,,,,,
29,0.9899132055044174,0.5338541666666667,0.7053221718761999,0.8316562344553142,generator,phi_linear,0,0,,,,,
30,1.0856079253554345,0.48938301282051283,0.7006703457052892,0.8332158845962527,generator,phi_linear,0,0,,,,,
31,0.9871115082502365,0.5262419871794872,0.7047845787573919,0.8373404078925553,generator,phi_linear,0,0,,,,,
32,0.9631644052267074,0.5126201923076923,0.7077193983345584,0.8371642347869341,generator,phi_linear,0,0,,,,,
33,0.9563765496015548,0.5026041666666666,0.7104018782845294,0.8327599071464102,generator,phi_linear,0,0,,,,,
34,0.9223229968547821,0.5160256410256411,0.6978178107891648,0.8577453987730062,generator,phi_linear,0,0,,,,,
35,0.9295099437236786,0.533653846153846,0.7186961721175684,0.8471439230641685,generator,phi_linear,0,0,,,,,
36,0.9445525181293487,0.5296474358974359,0.7448188091763854,0.8389259658431438,generator,phi_linear,0,0,,,,,
37,0.9550161144137382,0.5574919871794872,0.7213621951353308,0.8574034156856241,generator,phi_linear,0,0,,,,,
38,0.9186469566822052,0.5304487179487178,0.7371718213435439,0.8466154037473057,generator,phi_linear,0,0,,,,,
39,0.8912354168295861,0.5042067307692308,0.7634370851481673,0.8607507046924225,generator,phi_linear,0,0,,,,,
40,0.9359367600083351,0.5418669871794872,0.7678310860478128,0.8644710661581827,generator,phi_linear,0,0,,,,,
41,0.9034969592094422,0.5324519230769231,0.7549069086201411,0.8597869341734372,generator,phi_linear,0,0,,,,,
42,0.869949734210968,0.5416666666666666,0.7773925636608994,0.8702951417675344,generator,phi_linear,0,0,,,,,
43,0.8838955491781235,0.5436698717948718,0.7813641699671958,0.8660773503564914,generator,phi_linear,0,0,,,,,
44,0.8948729881644248,0.5681089743589743,0.7701405422010598,0.8607299784447024,generator,phi_linear,0,0,,,,,
45,0.8784396052360535,0.5162259615384615,0.774529057456636,0.878492372740839,generator,phi_linear,0,0,,,,,
46,0.8580315983295441,0.5342548076923077,0.7901412004783481,0.8779742165478361,generator,phi_linear,0,0,,,,,
47,0.8797483405470848,0.5458733974358975,0.7962631792598769,0.8611652296468248,generator,phi_linear,0,0,,,,,
48,0.8713962852954864,0.5490785256410255,0.8065926470426894,0.8690930193997679,generator,phi_linear,0,0,,,,,
49,0.8589714631438256,0.5927483974358975,0.7983916091588313,0.8796478610512353,generator,phi_linear,0,0,,,,,
50,0.8846715715527534,0.5448717948717948,0.7981392695316358,0.8753834355828221,generator,phi_linear,0,0,,,,,
1,1.3712558221817017,0.4923638021426944,0.4707231176012376,0.5137570469242247,evaluator,phi_linear,0,0,1.1934949994087218,0.3685714285714286,0.43184885290148445,0.5233691756272401,False
2,1.1510197401046753,0.44472304536129476,0.470915115143669,0.5334314375725419,evaluator,phi_linear,0,0,1.1182708191871642,0.39142857142857146,0.4847053531264058,0.5546236559139784,False
3,1.1145543253421784,0.6106678823797584,0.5625637706123077,0.5265503233294644,evaluator,phi_linear,0,0,1.1330340719223022,0.3971428571428572,0.5069725596041386,0.5332616487455197,False
4,1.1169683092832565,0.5757921130613175,0.5802165732278627,0.5222807162991212,evaluator,phi_linear,0,0,1.1148041272163391,0.4057142857142857,0.5166441745389114,0.5225089605734767,False
5,1.1134780132770539,0.6147709140642809,0.6146115615434409,0.513979854087216,evaluator,phi_linear,0,0,1.1076110816001892,0.44285714285714284,0.5159694107062528,0.5232258064516129,False
6,1.1020100873708725,0.6010941417825394,0.590370500400452,0.5675364781959874,evaluator,phi_linear,0,0,1.1095161986351014,0.4285714285714286,0.5465587044534412,0.49612903225806454,False
7,1.0935329258441926,0.6580806929564622,0.6071510856089612,0.5815992372740839,evaluator,phi_linear,0,0,1.1080634784698487,0.4571428571428572,0.5652271704903284,0.48781362007168466,False
8,1.0940011113882064,0.5981308411214955,0.6467025793498414,0.5794644337589122,evaluator,phi_linear,0,0,1.1146979212760926,0.4742857142857143,0.5796221322537112,0.4815053763440861,False
9,1.0799591714143753,0.6658308639161159,0.6285670400561729,0.6047193666058697,evaluator,phi_linear,0,0,1.1324588561058044,0.5057142857142858,0.584570400359874,0.47189964157706094,False
10,1.0741458082199096,0.6856621837246409,0.6656609652539305,0.6106677997015421,evaluator,phi_linear,0,0,1.1568718314170838,0.5228571428571429,0.6153846153846154,0.47189964157706094,False
11,1.063227483034134,0.664235240483246,0.6663521564066837,0.6365445199801029,evaluator,phi_linear,0,0,1.1138862895965576,0.5085714285714286,0.6333783175888439,0.46229390681003585,False
12,1.0528567510843276,0.6758604969227263,0.6976093563145248,0.6385446028850936,evaluator,phi_linear,0,0,1.1669977807998657,0.48857142857142855,0.597390913180387,0.4827956989247312,False
13,1.0603678560256957,0.651698199224983,0.7050478896727265,0.6208340242082574,evaluator,phi_linear,0,0,1.1314273738861085,0.5285714285714286,0.6484480431848854,0.46903225806451615,False
14,1.0419864928722382,0.7629359471164805,0.7102043950980285,0.6235595257834521,evaluator,phi_linear,0,0,1.134181523323059,0.5685714285714286,0.6464237516869096,0.46931899641577063,False
15,1.0351431113481522,0.6931844084795988,0.6873841157690325,0.6579340076272593,evaluator,phi_linear,0,0,1.1533131718635559,0.56,0.6603688708951867,0.45340501792114696,False
16,1.0135430058836936,0.7595167540460451,0.7159862639472501,0.6772249626927541,evaluator,phi_linear,0,0,1.137063593864441,0.6,0.6779127305443094,0.45154121863799285,False
17,1.0067122840881348,0.7556416685662184,0.7327065070709953,0.6696961532084232,evaluator,phi_linear,0,0,1.1584204721450806,0.5542857142857143,0.6468735942420154,0.46559139784946235,False
18,0.9963003140687943,0.7342147253248233,0.7350543627327284,0.690629663405737,evaluator,phi_linear,0,0,1.1535261583328247,0.5857142857142856,0.640800719748088,0.4955555555555555,False
19,0.9883898350596428,0.7412810576703899,0.7716161804557473,0.6697686950754436,evaluator,phi_linear,0,0,1.1449528598785401,0.6085714285714285,0.669365721997301,0.46673835125448027,False
20,0.9810817921161652,0.7460679279689993,0.7651156922334252,0.6776550323329464,evaluator,phi_linear,0,0,1.1613819575309754,0.582857142857143,0.6237067026540711,0.4873835125448029,False
21,0.9718379327654838,0.7579211306131753,0.7723677136932647,0.6657167136461615,evaluator,phi_linear,0,0,1.1529747033119202,0.6057142857142858,0.6405757984705354,0.4678853046594982,False
