topic_index,topic_rank,term_rank,feature,topic_loading,ngram_contrast_rank,ngram_z_score,ngram_ranking_score
63,1,1,lung. 2.,0.20783315645604808,48,3.292827294416053,2.7165825178932437
63,1,2,the lung. 2.,0.20686835279449792,28,3.432915646243529,3.0038011904630877
63,1,3,month,0.15833523793271162,345,2.46777096837597,1.3572740326067836
63,1,4,month ago,0.14463448916681862,848,2.4064537167372078,0.8422588008580226
63,1,5,1 month,0.14109501148198156,1334,2.077535715943565,0.6751991076816587
63,1,6,none rashes psychiatric,0.13410395048245072,73,3.123032909224246,2.4203505046487903
63,1,7,rashes psychiatric,0.13345978811967837,62,3.229812787302089,2.5031049101591187
63,1,8,1 month ago,0.13214673831668122,1085,2.3056133122271643,0.7493243264738284
63,1,9,psychiatric mild,0.1153117614928507,308,2.726612234151893,1.4314714229297434
63,1,10,psychiatric mild anxiety,0.10838395476467035,429,2.6282160066242146,1.2484026031465019
63,1,11,anxiety about diagnosis,0.08798817252253109,150,3.1170854017742533,1.9481783761089084
63,1,12,mild anxiety,0.07367828814875557,1423,2.180232678605435,0.6540698035816305
63,1,13,mild anxiety about,0.07201335615565359,1674,2.008247850834457,0.6024743552503371
63,1,14,- provided,0.057116668865444885,129,3.190549250560955,2.0738570128646208
63,1,15,about diagnosis,0.05705839619672882,719,2.463898284079054,0.9239618565296452
59,2,1,denies nausea vomiting,0.47084183745611297,25,-3.412031508247535,3.0708283574227817
59,2,2,denies nausea,0.469786559460789,12,-3.5676596059136654,3.3000851354701406
59,2,3,a single dose,0.1806742319859341,164,-2.8362676780198828,1.8435739907129238
59,2,4,single dose of,0.14799895471104366,411,-2.4136213241509066,1.2671511951792258
59,2,5,single dose,0.1472477632186265,743,-2.2680878894835335,0.9072351557934134
59,2,6,studies -,0.06515885884837581,91,-3.1349910248924457,2.272868493047023
59,2,7,mg dl ast,0.061106256875025196,940,-2.2805681805769797,0.7981988632019429
59,2,8,calcification.,0.054522213585632716,142,-2.8580152849991363,2.0006106994993953
59,2,9,demonstrates heterogeneous enhancement,0.05284346690457265,234,-2.717829601544503,1.630697760926702
59,2,10,dl ast,0.05148722271349384,945,-2.2752253068366133,0.7963288573928146
59,2,11,patient to,0.04635866383879502,301,-2.7434579529646785,1.440315425306456
59,2,12,of right,0.0451135495375102,506,-2.433958413529658,1.1561302464265875
59,2,13,are identified,0.04440017828537288,156,2.9044848750840004,1.8879151688046003
59,2,14,dl plt 260,0.043522171431216256,641,-2.355539994691729,1.0011044977439847
59,2,15,diarrhea or,0.04338116927775434,1757,-2.140833515311278,0.5887292167106014
81,3,1,respiratory cough dyspnea,0.41957190822429197,61,3.2409352026368454,2.511724782043555
81,3,2,exertion hemoptysis wheezing,0.404660794882798,71,3.1501801979094606,2.4413896533798316
81,3,3,exertion hemoptysis,0.2523850496779269,870,2.20829656934679,0.8281112135050462
81,3,4,on exertion hemoptysis,0.2523850496779269,871,2.20829656934679,0.8281112135050462
81,3,5,rashes psychiatric,0.1783487702034093,62,3.229812787302089,2.5031049101591187
81,3,6,none rashes psychiatric,0.17389976650959535,73,3.123032909224246,2.4203505046487903
81,3,7,psychiatric mild,0.1355033799033425,308,2.726612234151893,1.4314714229297434
81,3,8,palpitations gastrointestinal,0.12862105392364023,678,2.258578828783713,0.959896002233078
81,3,9,psychiatric mild anxiety,0.1262099457082572,429,2.6282160066242146,1.2484026031465019
81,3,10,pain palpitations gastrointestinal,0.12235953442946812,879,2.1973264113137354,0.8239974042426508
81,3,11,anxiety about diagnosis,0.11817430397292068,150,3.1170854017742533,1.9481783761089084
81,3,12,wheezing cardiovascular none,0.1101933277793458,1669,2.0101691771339794,0.6030507531401937
81,3,13,mild anxiety,0.09909946757111047,1423,2.180232678605435,0.6540698035816305
81,3,14,deficits musculoskeletal,0.09773124943520091,780,2.3654450373787035,0.8870418890170138
81,3,15,focal deficits musculoskeletal,0.09773124943520091,781,2.3654450373787035,0.8870418890170138
96,4,1,0.9 cm,0.808767966696168,1,4.3225577380183475,4.3225577380183475
96,4,2,0.9 cm .,0.3538224765839768,83,3.034802810680842,2.351972178277652
96,4,3,0.9,0.23786582182682356,379,2.6065022475297313,1.3032511237648656
96,4,4,0.9 cm and,0.1149020158635203,1464,2.1535758718641858,0.6460727615592557
96,4,5,lesions 1.2,0.10643923487618219,776,2.220566006233654,0.8882264024934616
96,4,6,lesions 1.2 cm,0.10544059429361609,787,2.2082663291546076,0.8833065316618431
96,4,7,cm 0.9,0.10304652414439495,2414,2.024961302964517,0.5062403257411292
96,4,8,cm 0.9 cm,0.10283615930251626,2376,2.040604467060195,0.5101511167650488
96,4,9,and 0.9,0.10137792184600397,2898,1.8719519089911285,0.4679879772477821
96,4,10,0.7 cm,0.08688479302667691,319,2.565514210392488,1.4110328157158687
96,4,11,0.9 cm 0.8,0.08532696202727241,1299,2.104818201679434,0.6840659155458161
96,4,12,hemisphere 0.9,0.07064056590961826,532,2.488871958087865,1.1199923811395394
96,4,13,cerebellar hemisphere 0.9,0.07064056590961826,533,2.488871958087865,1.1199923811395394
96,4,14,hemisphere 0.9 cm,0.07049848020046921,474,2.5164205871123877,1.1952997788783841
96,4,15,two enhancing,0.0483585077870446,805,2.4862219342905076,0.8701776770016776
44,5,1,oncology dr.,0.5682283502596425,112,3.0661914241426076,2.146333996899825
44,5,2,- palliative care,0.41446055206167615,116,2.8502247045647113,2.1376685284235335
44,5,3,- palliative,0.377858360197628,72,2.950417876000158,2.4340947477001307
44,5,4,r.,0.21947497939537883,125,2.9770958259612113,2.0839670781728477
44,5,5,dr. l.,0.18293337963967504,662,2.3059599671298336,0.9800329860301793
44,5,6,dr. l. chen,0.1616358795936013,984,2.0845770973330273,0.7817164114998852
44,5,7,l. chen,0.1392955376422498,1274,2.1252438164177345,0.6907042403357637
44,5,8,e.,0.13785292624520798,456,2.5675159005481025,1.2195700527603486
