outer_fold,split_role,model,n,treatment_auroc,treatment_brier,treatment_log_loss,treatment_ece,treatment_calibration_intercept,treatment_calibration_slope,treatment_true_probability_rmse,outcome_auroc,outcome_brier,outcome_log_loss,outcome_ece,outcome_calibration_intercept,outcome_calibration_slope,outcome_true_probability_rmse,residual_constant_effect,true_ate
1,train_inner_oof,fresh_bow_stacked,800,0.8233020637898686,0.17014683908490674,0.5180641937677787,0.03400546583589163,0.0002558975804052958,1.0398199532291406,0.12461958858897515,0.8134995951007187,0.17398562793345293,0.525652577927562,0.028145595515082687,-0.011132699291292588,1.0547301316986195,0.12378004098823774,0.11353123503764263,0.06251189555397973
1,train_inner_oof,reused_crossfit_stack,800,0.8339899937460913,0.16539373829536508,0.5041729144103371,0.022972734408879425,0.0012744045430542576,1.0015359116381632,0.10510270655572959,0.8235461585180686,0.16849514768904783,0.5129680422704739,0.026903926907817354,0.0012033674610607663,0.9929882557339552,0.1058796462424874,0.10821340320386576,0.06251189555397973
1,train_inner_oof,reused_probability_mean,800,0.8300938086303942,0.18615882346646623,0.5596271935852198,0.12228955420883116,0.10545756624730511,2.27384118174345,0.17915347890342215,0.815922664237271,0.18969615842981427,0.5669982437608165,0.12640116053734793,-0.2762115041907218,2.2780848943944365,0.17665693407562938,0.21712220762852397,0.06251189555397973
1,test_outer_train_fit,fresh_bow_stacked,200,0.8617755980382344,0.150062886990723,0.46597825673885784,0.08058505012042866,0.02124477680379124,1.0988163060522023,0.11471340528955049,0.8095,0.1820826835207249,0.5405189520768164,0.08358547054529364,-0.222632233823176,0.8982807659316302,0.11588802098716412,0.18066977123164135,0.0636716475772448
1,test_outer_train_fit,reused_crossfit_stack,200,0.8677810029026124,0.1480533592253386,0.463332700425042,0.06345014529600086,0.05685142351546619,1.2490903368118293,0.09510069137538225,0.8167,0.1788446190739849,0.5310995971371448,0.09239818636213389,-0.25587485140925004,0.9790480789327894,0.10585581757359291,0.18269013081044053,0.0636716475772448
1,test_outer_train_fit,reused_probability_mean,200,0.8638774897407667,0.1778203110482464,0.5422774309111512,0.1552237789584886,0.149472879026599,2.773040694783665,0.17860606880116836,0.8128000000000001,0.1965277819271694,0.581037588511903,0.14354172351509367,-0.5278944768008859,2.263358715401283,0.17610054101991776,0.2780924231511146,0.0636716475772448
2,train_inner_oof,fresh_bow_stacked,800,0.8340271527152715,0.16452557736344522,0.5049509260854957,0.03220248453092941,-0.00046272787088345467,1.0354102249105865,0.12406080153176298,0.801865614853896,0.17854621366729945,0.5353162494485757,0.03229992714526565,-0.0060218607316381255,1.03788620600212,0.12437741934429251,0.12988571424764284,0.06793811672978631
2,train_inner_oof,reused_crossfit_stack,800,0.8349959995999601,0.16393738504043132,0.5024982493364218,0.03558910892807894,-0.0029502911303993795,1.0048258676777828,0.10462178665653248,0.8106737012987013,0.1750051699252882,0.5266346627767947,0.025257454419863365,-0.0016177455461772008,1.0152540102380592,0.11009385461886788,0.13472364217753716,0.06793811672978631
2,train_inner_oof,reused_probability_mean,800,0.8233385838583858,0.18735418059651177,0.5621187419070182,0.11943972004565906,0.02584391776773017,2.1634876176647135,0.18454630609221617,0.8007368607954546,0.1953493513812309,0.5793070663208597,0.11172006897097077,-0.31443118644198337,2.3029418204733125,0.18766540507690035,0.23238507943112158,0.06793811672978631
2,test_outer_train_fit,fresh_bow_stacked,200,0.8430285311019254,0.16098387336752043,0.49479819465892805,0.06898379761691163,0.08765193882197417,0.9925364363076021,0.13976162787985374,0.8636818910256411,0.15454601839654772,0.47062541253179424,0.0903602736452958,-0.271321453069602,1.3455758662187252,0.12550278481868937,0.10337953031479423,0.041966762874018515
2,test_outer_train_fit,reused_crossfit_stack,200,0.8474644621433614,0.15824563425340435,0.4899885894137829,0.06604722031079531,0.09705903087767805,1.1585741549798703,0.1110028307428988,0.8775040064102564,0.14994828237555896,0.46442559853098386,0.10443785607365176,-0.2938355882751778,1.6762466713472162,0.10479189951677478,0.1052392342556407,0.041966762874018515
2,test_outer_train_fit,reused_probability_mean,200,0.8417179151124106,0.1850476568299895,0.5579373733503047,0.17169687414649112,0.11773862369958538,2.560593518131927,0.17096676621768178,0.8769030448717949,0.18745137370743187,0.5628324865646921,0.17717620103580722,-0.8020730536551383,3.7371162271625735,0.18507282376801906,0.2571241798449054,0.041966762874018515
3,train_inner_oof,fresh_bow_stacked,800,0.8316102756892231,0.16643334568706852,0.5074072434594343,0.03677643732991205,0.001999588907592147,1.0150613406737952,0.12601816459264678,0.8199410627475272,0.17247478786655862,0.5208386470424407,0.033640723805232434,-0.0033324167707740535,1.045853751803556,0.11250554781699039,0.11322547988140806,0.06075038403232346
3,train_inner_oof,reused_crossfit_stack,800,0.8417418546365916,0.1597854612447607,0.4929116233793332,0.03675201769782646,-0.0018017811089805383,1.0007557522792978,0.0970600362831776,0.8237075410902766,0.1710080344612917,0.5161790364689999,0.04354396961991171,-0.0013128807147751963,1.005953842856485,0.1026525203937199,0.10229754717042859,0.06075038403232346
3,train_inner_oof,reused_probability_mean,800,0.8368170426065162,0.18302150609754642,0.5529885639495119,0.14260414443379038,0.13214165296737335,2.33774827769489,0.17932571170463663,0.8122954871082579,0.19381420900862828,0.5761328632952526,0.1282151849401655,-0.11898390028141982,2.343298573333398,0.180874923861029,0.2242832584957712,0.06075038403232346
3,test_outer_train_fit,fresh_bow_stacked,200,0.8174052859009144,0.17100004852931583,0.5239145995896449,0.07337960057999379,-0.10373766119990675,0.8772514612171335,0.12697084251941956,0.8049563004757163,0.17225855925463088,0.5198181841698021,0.07880222397484558,0.36673416625926897,0.8852518769945228,0.12530505252414334,0.21865674626955853,0.0707176936638699
3,test_outer_train_fit,reused_crossfit_stack,200,0.8272535423575519,0.16966217520038626,0.5157178987267891,0.08091776447490145,-0.12395964982315973,1.0092768634706135,0.0900971112487655,0.8091603053435115,0.17101616394092645,0.5152341443334841,0.06328117663726544,0.3770263617645793,0.9763918604581571,0.10393679890348902,0.2094303635846533,0.0707176936638699
3,test_outer_train_fit,reused_probability_mean,200,0.8242387699728669,0.19025812623665214,0.5690184978661847,0.15514867020112127,0.04615055044062364,2.3813469375025336,0.17719615040377376,0.802079876092488,0.19223041515778852,0.5731656974925592,0.1478735007450257,0.2880570705588635,2.371715750858149,0.1792305784590454,0.29584666216990463,0.0707176936638699
4,train_inner_oof,fresh_bow_stacked,800,0.8327108007833275,0.16506389723228207,0.506788005378526,0.04448375799733161,0.0008090286249742419,1.0167493311029463,0.12869755040848688,0.8236805555555555,0.16983300246938288,0.5151318322540634,0.02001745949862445,-0.004857229192333258,1.0393413809408274,0.11849945306778539,0.1371617275211964,0.061725280362591874
4,train_inner_oof,reused_crossfit_stack,800,0.8371154531974397,0.16152343456877538,0.5005689992006584,0.024466145545841367,0.0005252355253643543,0.9942803725174164,0.09925443019545487,0.8343055555555555,0.1648787434986235,0.5003397731308027,0.022098519572518727,-0.0004462839747102019,1.0091446400512147,0.10726942043941658,0.1148573377251756,0.061725280362591874
4,train_inner_oof,reused_probability_mean,800,0.8313781431637166,0.1854590837912892,0.5587606434554011,0.14071946957967094,0.09423158826227997,2.3186211528482494,0.1790289553225916,0.8250820707070707,0.18976942167002545,0.5669429287033368,0.13121636775293222,-0.2788461015859876,2.4727920367576464,0.17848941273313246,0.23625861317445138,0.061725280362591874
4,test_outer_train_fit,fresh_bow_stacked,200,0.8427000000000001,0.1646882501678706,0.5042494372737671,0.07534312760977879,0.2640683512745036,0.8794505243921173,0.1218079266876748,0.7893629807692308,0.18847330502384413,0.56786723832455,0.07116176718352876,0.02012872107287727,0.7435838908553082,0.10056570152391996,0.11279802973376822,0.06681810834279628
4,test_outer_train_fit,reused_crossfit_stack,200,0.8493,0.1642988208978386,0.49548005748196916,0.0947990184437871,0.23241358528424744,1.0013733921766281,0.09488952696390203,0.7888621794871795,0.18854962450360205,0.5647756036606577,0.0776247312733435,-0.011732175672621015,0.7853169951152039,0.09332950045013037,0.13242649063095302,0.06681810834279628
4,test_outer_train_fit,reused_probability_mean,200,0.8386,0.18456278699197445,0.5562872826764523,0.14459690994024813,0.34988776355519396,2.4083756151511437,0.18409964759553923,0.7883613782051281,0.20062861023859924,0.5905769522584334,0.13026556206381307,-0.22978182793408677,2.0253550125853463,0.1802273504998157,0.22210349034730487,0.06681810834279628
5,train_inner_oof,fresh_bow_stacked,800,0.8306297859040476,0.1661422674073179,0.5094222977266787,0.03511023421908726,-0.00039213725535805824,1.0175590047059127,0.12743739089487216,0.8106376423393005,0.17687361913350214,0.5303446440288524,0.04431464276934262,-0.0036609075780326765,1.0258701158973789,0.12402463673046049,0.17095919981767174,0.060793553114482375
5,train_inner_oof,reused_crossfit_stack,800,0.8392498827941866,0.1620487909606989,0.49807837755441353,0.02847753594666249,-0.00016346507770926178,0.9965531570623495,0.10479046041336705,0.8209684417029784,0.1724082322771545,0.5186501741590529,0.040804615316772944,-0.003787272189032548,1.009428000227261,0.10645059611209047,0.162688684908826,0.060793553114482375
5,train_inner_oof,reused_probability_mean,800,0.8356118143459916,0.18547035915242407,0.5583682217756858,0.131207046780179,0.042187725616112684,2.403401523037093,0.18008861216492292,0.8126811662548179,0.19276154688818792,0.5734959173469779,0.11909801311576444,-0.22524916036669587,2.3032034832340975,0.17875760292549794,0.26838490748064076,0.060793553114482375
5,test_outer_train_fit,fresh_bow_stacked,200,0.8394726247987117,0.16276591469063795,0.5035773484172631,0.07230027669534403,-0.2641008096179193,0.9212518555224005,0.11249095815604551,0.8234157257654359,0.16753099392174367,0.506643012012979,0.07152458630843618,0.15293402428898423,0.9629943204790998,0.11272184092450564,-0.024327046812534905,0.07054501733523426
5,test_outer_train_fit,reused_crossfit_stack,200,0.8448067632850241,0.15813140679216342,0.49048795934944295,0.0676399232248361,-0.2187113090908074,1.03762522642054,0.09109925186695984,0.8264672973247889,0.1669552979286305,0.5075931688541323,0.06276471454474819,0.14520917597190505,1.0300756961796487,0.10428706907943977,-0.02804307086557048,0.07054501733523426
5,test_outer_train_fit,reused_probability_mean,200,0.84158615136876,0.18350432429506702,0.5544045001931646,0.14943500866934253,-0.162206229910239,2.5083119881818248,0.17722059815130992,0.8228054114535653,0.18772416797221328,0.5636491682094092,0.1454651195360528,-0.06526008275916978,2.4540207991411425,0.1757090811201072,0.10135155100012451,0.07054501733523426
