feature,outer_fold_count,mean_z_score,mean_abs_z_score,positive_fold_fraction,mean_ranking_score,best_rank,mean_rank,mean_document_frequency,mean_source_sign_agreement,mean_subsample_sign_agreement,mean_subsample_top_pool_frequency,direction_consistency,stable_relevance_score
% low,5,-3.7329096945239413,3.7329096945239413,0.0,3.621923173180715,1,9.0,202.4,1.0,1.0,0.96,1.0,3.621923173180715
syndromes --- physical,5,-3.6794153779278687,3.6794153779278687,0.0,3.355132675476137,2,48.2,104.8,1.0,1.0,0.8533333333333333,1.0,3.355132675476137
neurologic symptoms or,5,-3.443944520641184,3.443944520641184,0.0,3.2013817434421354,5,33.6,101.6,1.0,1.0,0.8933333333333333,1.0,3.2013817434421354
lung no,5,3.4207339030786814,3.4207339030786814,1.0,3.1688579424887324,1,29.4,204.0,1.0,1.0,0.8933333333333333,1.0,3.1688579424887324
55.,5,3.281059234514372,3.281059234514372,1.0,3.1150461933878093,9,33.4,96.8,1.0,1.0,0.9266666666666667,1.0,3.1150461933878093
hour <new,5,3.3525216539057396,3.3525216539057396,1.0,3.006767806855337,10,65.8,727.2,1.0,1.0,0.8333333333333334,1.0,3.006767806855337
hour <new note>,5,3.3525216539057396,3.3525216539057396,1.0,3.006767806855337,9,65.6,727.2,1.0,1.0,0.8333333333333334,1.0,3.006767806855337
kidneys,5,3.4151140663049353,3.4151140663049353,1.0,2.936012016174865,3,46.0,731.2,1.0,1.0,0.8,1.0,2.936012016174865
pd-l1 <1,5,-3.35308766577941,3.35308766577941,0.0,2.8691224030034057,5,61.0,157.6,1.0,1.0,0.7866666666666667,1.0,2.8691224030034057
syndromes ---,5,-3.3060249455221387,3.3060249455221387,0.0,2.7923453425042175,10,115.6,140.0,1.0,1.0,0.76,1.0,2.7923453425042175
nkda social history,5,-3.2768271965955607,3.2768271965955598,0.0,2.783667356235026,13,52.4,247.2,1.0,1.0,0.7866666666666666,1.0,2.783667356235026
nkda social,5,-3.2768271965955607,3.2768271965955598,0.0,2.7691868349246436,14,57.0,247.2,1.0,1.0,0.78,1.0,2.7691868349246436
canal,5,3.2016965339573438,3.2016965339573438,1.0,2.761086166388402,4,64.8,49.6,1.0,1.0,0.8,1.0,2.761086166388402
cancer syndromes ---,5,-3.282980201099052,3.282980201099052,0.0,2.7606569044732945,13,134.0,140.0,1.0,1.0,0.7533333333333333,1.0,2.7606569044732945
low pd-l1 expression,5,-3.2121857503096516,3.2121857503096516,0.0,2.6867540277120137,10,62.6,310.4,1.0,1.0,0.7733333333333333,1.0,2.6867540277120137
high pd-l1 expression,5,3.227785609770102,3.227785609770102,1.0,2.6370890417738653,4,99.0,161.6,1.0,1.0,0.7266666666666667,1.0,2.6370890417738653
cava,5,-3.2231837793164666,3.223183779316467,0.0,2.627357219917706,2,152.6,110.4,1.0,1.0,0.7,1.0,2.627357219917706
vena cava,5,-3.2231837793164666,3.223183779316467,0.0,2.627357219917706,3,153.6,110.4,1.0,1.0,0.7,1.0,2.627357219917706
high pd-l1,5,3.192909261967116,3.1929092619671158,1.0,2.5930769554778874,11,90.8,186.4,1.0,1.0,0.7266666666666667,1.0,2.5930769554778874
superior vena cava,5,-3.202226592861547,3.202226592861546,0.0,2.582765663188323,1,196.4,108.8,1.0,1.0,0.68,1.0,2.582765663188323
reasonable,5,-3.0976497815935082,3.0976497815935087,0.0,2.5322004290128333,3,129.4,84.8,1.0,1.0,0.72,1.0,2.5322004290128333
is within,5,-3.099243830249701,3.0992438302497005,0.0,2.5054863948040764,22,78.2,64.0,1.0,1.0,0.7333333333333334,1.0,2.5054863948040764
carcinoma adenocarcinoma,5,3.183564171417886,3.183564171417886,1.0,2.4819651303510657,1,119.8,516.0,1.0,1.0,0.6666666666666667,1.0,2.4819651303510657
or masses.,5,3.014603162354403,3.014603162354403,1.0,2.4420820882984637,8,709.0,202.4,1.0,1.0,0.6666666666666667,1.0,2.4420820882984637
lung carcinoma adenocarcinoma,5,3.1154585869490785,3.1154585869490785,1.0,2.3748356555665557,2,142.0,514.4,1.0,1.0,0.64,1.0,2.3748356555665557
moderate complexity <new,5,-3.000034572573083,3.000034572573083,0.0,2.354981283376113,5,148.8,321.6,1.0,1.0,0.6666666666666667,1.0,2.354981283376113
vena,5,-3.0318343115225153,3.0318343115225157,0.0,2.3123684203202477,8,330.4,112.0,1.0,1.0,0.6066666666666667,1.0,2.3123684203202477
superior vena,5,-3.010938550678601,3.010938550678601,0.0,2.282976294082273,7,390.6,110.4,1.0,1.0,0.5933333333333334,1.0,2.282976294082273
he reports increasing,5,-2.99644243101086,2.99644243101086,0.0,2.239226167845924,28,113.4,68.0,1.0,1.0,0.6533333333333333,1.0,2.239226167845924
mediastinum hilar nodes,5,-3.0085244810007503,3.0085244810007508,0.0,2.21895100598288,6,120.4,344.0,1.0,1.0,0.6333333333333333,1.0,2.21895100598288
pd-l1 <1 %.,5,-3.04322300373286,3.04322300373286,0.0,2.216981741073838,21,117.4,100.0,1.0,1.0,0.6266666666666667,1.0,2.216981741073838
<1,5,-2.954226974923359,2.954226974923359,0.0,2.1673385147953805,27,149.8,319.2,1.0,1.0,0.62,1.0,2.1673385147953805
cell-cycle progression.,5,-2.825346741229583,2.825346741229583,0.0,2.1131286457209972,41,147.0,83.2,1.0,1.0,0.6466666666666667,1.0,2.1131286457209972
tps >=,5,2.8723976472748576,2.8723976472748576,1.0,2.0815642990500343,21,205.8,67.2,1.0,1.0,0.6,1.0,2.0815642990500343
spinal,5,2.849406377066342,2.849406377066342,1.0,2.0792990127897513,15,208.0,81.6,1.0,1.0,0.6,1.0,2.0792990127897513
- metastatic nsclc,5,2.845992628193972,2.845992628193972,1.0,2.0724592248374414,4,356.8,204.0,1.0,1.0,0.5599999999999999,1.0,2.0724592248374414
of first-line carboplatin,5,-2.9409162939316187,2.940916293931619,0.0,2.069456585510784,27,145.2,175.2,1.0,1.0,0.5933333333333334,1.0,2.069456585510784
objective,5,2.8681928225742834,2.868192822574283,1.0,2.0660736436440077,43,167.2,423.2,1.0,1.0,0.6066666666666667,1.0,2.0660736436440077
800,5,2.845812411670017,2.845812411670017,1.0,2.0540131927015333,64,152.8,461.6,1.0,1.0,0.6133333333333333,1.0,2.0540131927015333
cancer nsclc -,5,2.895084256573646,2.8950842565736457,1.0,2.052752554906228,20,235.2,80.0,1.0,1.0,0.58,1.0,2.052752554906228
pain palpitations or,5,2.823383876575321,2.823383876575321,1.0,2.0083160088242438,13,307.6,720.0,1.0,1.0,0.5666666666666667,1.0,2.0083160088242438
lung no new,5,2.8125882131695947,2.8125882131695947,1.0,1.9978563687253512,23,160.0,86.4,1.0,1.0,0.6,1.0,1.9978563687253512
1 % low,5,-2.892412077604167,2.8924120776041673,0.0,1.9910393451886876,38,168.2,94.4,1.0,1.0,0.5733333333333334,1.0,1.9910393451886876
anc <1.0,5,-2.7853786002271512,2.7853786002271512,0.0,1.9557622396383216,1,281.6,152.0,1.0,1.0,0.5466666666666666,1.0,1.9557622396383216
evidence of superior,5,-2.7981165567301303,2.7981165567301307,0.0,1.9504837939661321,7,508.4,82.4,1.0,1.0,0.5133333333333333,1.0,1.9504837939661321
phase ii,5,-2.8031591932405187,2.803159193240519,0.0,1.9374223427217714,35,250.8,76.8,1.0,1.0,0.5533333333333333,1.0,1.9374223427217714
lobe primary nsclc,5,2.8398779894067796,2.83987798940678,1.0,1.910620369598245,50,194.4,136.8,1.0,1.0,0.5466666666666666,1.0,1.910620369598245
70 100 fatigue,5,-2.752118819405909,2.752118819405909,0.0,1.9097289689034398,30,259.8,206.4,1.0,1.0,0.5533333333333333,1.0,1.9097289689034398
spinal canal,4,3.0039100476727447,3.0039100476727447,1.0,2.364556329037535,39,94.5,46.25,1.0,1.0,0.7083333333333334,1.0,1.891645063230028
