top_k,feature,outer_fold_count,mean_rank,mean_z_score,mean_abs_z_score,mean_ranking_score
25,% low,5,9.0,-3.7329096945239413,3.7329096945239413,3.621923173180715
25,syndromes --- physical,4,5.0,-3.896294406304595,3.8962944063045954,3.8248540658899195
25,neurologic symptoms or,4,10.5,-3.5877658622013673,3.5877658622013673,3.4817827075675876
25,hour <new,4,15.5,3.5732883513913025,3.5732883513913025,3.418909714774191
25,hour <new note>,4,15.5,3.5732883513913025,3.5732883513913025,3.418909714774191
25,lung no,3,10.0,3.6043013021730697,3.6043013021730697,3.519301797568987
25,55.,3,15.666666666666666,3.4761818513935,3.4761818513935,3.4455739568518347
25,syndromes ---,3,15.666666666666666,-3.561434210192344,3.561434210192345,3.355004128682539
25,cancer syndromes ---,3,17.666666666666668,-3.5313898426488475,3.5313898426488475,3.3267014806004958
25,or masses.,3,15.666666666666666,3.469268988542554,3.469268988542554,3.208418236605516
25,superior vena cava,2,5.0,-3.9348821533473344,3.9348821533473344,3.9348821533473344
25,cava,2,6.0,-3.909743389087448,3.909743389087448,3.909743389087448
25,vena cava,2,7.0,-3.909743389087448,3.909743389087448,3.909743389087448
25,superior vena,2,9.0,-3.813798603725078,3.813798603725078,3.7679988607625354
25,vena,2,10.5,-3.7896872814741203,3.7896872814741203,3.7444582157691566
25,high pd-l1 expression,2,6.0,3.725542374902921,3.725542374902921,3.6802682662230586
25,kidneys,2,4.0,3.8542313601614584,3.8542313601614584,3.6615197921533857
25,pd-l1 <1,2,10.5,-3.770350414033177,3.770350414033177,3.551033319520907
25,moderate complexity <new,2,7.0,-3.652901355864577,3.652901355864577,3.518678906609957
25,reasonable,2,13.0,-3.593979738757265,3.593979738757265,3.506848735569407
25,high pd-l1,2,12.5,3.624565901975182,3.624565901975182,3.4879726311311936
25,canal,2,14.5,3.5631715764401943,3.5631715764401943,3.476176030200287
25,- metastatic nsclc,2,10.5,3.5430695114541826,3.5430695114541826,3.461013042033594
25,carcinoma adenocarcinoma,1,1.0,4.510378809207653,4.510378809207653,4.510378809207653
25,lung carcinoma adenocarcinoma,1,2.0,4.4375200027657264,4.4375200027657264,4.4375200027657264
25,-------------------,1,4.0,-4.050533997648014,4.050533997648014,4.050533997648014
25,pain no new,1,2.0,-3.825713738182066,3.825713738182066,3.825713738182066
25,anc <1.0,1,1.0,-3.7469242118119856,3.7469242118119856,3.7469242118119856
25,cell lung carcinoma,1,12.0,3.834324293368293,3.834324293368293,3.7384661860340853
25,nkda social,1,14.0,-3.731809418078169,3.731809418078169,3.731809418078169
25,nkda social history,1,13.0,-3.731809418078169,3.731809418078169,3.731809418078169
25,evidence of superior,1,7.0,-3.7167206530991024,3.7167206530991024,3.7167206530991024
25,of superior,1,6.0,-3.7167206530991024,3.7167206530991024,3.7167206530991024
25,pelvic lymphadenopathy.,1,5.0,-3.805335870910294,3.805335870910294,3.7102024741375366
25,and immunophenotypic profile,1,8.0,-3.701785887594039,3.701785887594039,3.701785887594039
25,immunophenotypic profile,1,9.0,-3.701785887594039,3.701785887594039,3.701785887594039
25,spinal,1,15.0,3.6785838592368556,3.6785838592368556,3.6785838592368556
25,recist criteria,1,10.0,3.670701775799044,3.670701775799044,3.670701775799044
25,lesions identified. overall,1,7.0,-3.685491871765771,3.685491871765771,3.5933545749716265
25,lung shows,1,6.0,3.6620978737581247,3.6620978737581247,3.5705454269141716
25,general fatigue,1,7.0,3.5635184840390077,3.5635184840390077,3.5635184840390077
25,axial dimension previously,1,22.0,-3.5971762206862223,3.5971762206862223,3.507246815169067
25,metastasis in,1,11.0,3.584134710904405,3.584134710904405,3.494531343131795
25,low pd-l1 expression,1,10.0,-3.573027993847545,3.573027993847545,3.4837022940013562
25,pd-l1 <1 %,1,23.0,-3.6453636551690853,3.6453636551690853,3.463095472410631
25,complexity <new,1,15.0,-3.616807863753066,3.616807863753066,3.4359674705654126
25,complexity <new note>,1,16.0,-3.616807863753066,3.616807863753066,3.4359674705654126
25,pain palpitations or,1,13.0,3.6006024141527377,3.6006024141527377,3.4205722934451006
25,nodules or masses.,1,14.0,3.4799599909796544,3.4799599909796544,3.392960991205163
25,cytopenias,1,24.0,-3.4595145917951022,3.4595145917951022,3.3730267270002248
25,adenopathy.,1,15.0,3.642047860673996,3.642047860673996,3.3688942711234464
25,initial oncology,1,12.0,-3.4547440824183533,3.4547440824183533,3.3683754803578942
25,cancer nsclc -,1,20.0,3.5362574039005383,3.5362574039005383,3.359444533705511
25,mediastinum hilar nodes,1,6.0,-3.5294712348522075,3.5294712348522075,3.3529976731095967
25,tingling in feet,1,16.0,-3.424533486225931,3.424533486225931,3.3389201490702827
25,tps >=,1,21.0,3.4094126017660664,3.4094126017660664,3.324177286721915
25,and portal-venous,1,22.0,3.3980632995599938,3.3980632995599938,3.313111717070994
25,global health 70,1,7.0,-3.4662404659223207,3.4662404659223207,3.2929284426262044
25,health 70,1,8.0,-3.450465138739984,3.450465138739984,3.2779418818029846
25,the two,1,18.0,-3.4320830439054766,3.4320830439054766,3.2604788917102026
25,are seen in,1,13.0,-3.4055217022675026,3.4055217022675026,3.2352456171541273
25,patient reports a,1,24.0,3.4960636901835977,3.4960636901835977,3.233858913419828
25,analgesia,1,25.0,-3.40284927726306,3.40284927726306,3.232706813399907
25,to obtain,1,14.0,-3.491592028206076,3.491592028206076,3.2297226260906204
25,on quality,1,12.0,-3.472343835909887,3.472343835909887,3.2119180482166456
25,on quality of,1,11.0,-3.472343835909887,3.472343835909887,3.2119180482166456
25,- metastatic,1,15.0,3.3709267440917836,3.3709267440917836,3.2023804068871944
25,seizures dermatologic,1,21.0,-3.527108484630503,3.527108484630503,3.174397636167453
25,with primary,1,14.0,3.3349158373573826,3.3349158373573826,3.1681700454895134
25,of the primary,1,22.0,-3.514137875208284,3.514137875208284,3.1627240876874554
