feature,coefficient,direction
control::meq,-0.0009587023566020445,negative
treated::miller,-0.0008227455475741205,negative
treated::john,-0.0008138452114043442,negative
treated::age 70,-0.0008010904433302346,negative
treated::patient john,-0.0007591729517711054,negative
treated::pemetrexed,-0.000698373180097175,negative
control::mitchell,-0.0006902865330853881,negative
treated::pemetrexed 500,-0.0006868454953483245,negative
treated::age 60,-0.000630994960963258,negative
control::related pneumonitis,-0.0006290179840553689,negative
treated::miller age,-0.0006284840326820461,negative
control::chronic obstructive,-0.0006249892422387423,negative
control::meq reference,-0.0006106497285168977,negative
treated::john miller,-0.0006094250838101402,negative
control::harold,-0.0006017246314917766,negative
control::mediastinal station,-0.0005989975539998892,negative
control::obstructive pulmonary,-0.0005964826607714741,negative
control::nl,-0.0005959080288417476,negative
control::t2bn3m1c,-0.0005743682596037522,negative
treated::q3 wk,-0.0005678181604414043,negative
treated::patient samuel,-0.0005577707405546709,negative
treated::iliac bone,-0.0005517837095030146,negative
control::82,-0.0005485926808919696,negative
control::meq meq,-0.0005479043252232565,negative
control::pneumonitis,-0.0005435249978031266,negative
treated::samuel,-0.000542373498541867,negative
treated::carboplatin pemetrexed,-0.0005412698539058354,negative
treated::76 mmhg,-0.0005411151987633425,negative
treated::128 76,-0.0005378677720474031,negative
control::iv t2bn3m1c,-0.0005364826009822088,negative
treated::109,-0.0005356046392942284,negative
control::40 pack,-0.0005355520409888523,negative
control::78 mother,-0.0005350637883152297,negative
control::patient harold,-0.0005348050564403885,negative
treated::76,-0.00052893208478231,negative
treated::cytopenias,-0.0005284516129124112,negative
treated::eleanor,-0.0005204977930648889,negative
control::40 mg,-0.0005199552049645417,negative
treated::robert miller,-0.00051801600618439,negative
treated::pemetrexed pembrolizumab,-0.0005161537897878442,negative
treated::high pd,0.0012085391679839002,positive
treated::l1 50,0.0010946929187689665,positive
treated::alvarez,0.000889664805551234,positive
treated::left frontal,0.0007040890485336235,positive
treated::tps 50,0.0006852783716917317,positive
control::crest,0.0006678558059035513,positive
control::iliac crest,0.0006678558059035513,positive
treated::right pleural,0.0006461601128698323,positive
control::patel age,0.0006174984392238845,positive
treated::patient michael,0.000614866330132888,positive
treated::frontal,0.0006025237563810688,positive
control::r273c stk11,0.0005862689903461186,positive
treated::michael,0.0005758532854824048,positive
treated::cerebellar,0.0005734262508745504,positive
control::vaf 28,0.0005687501737364903,positive
treated::age 49,0.0005633765252303589,positive
treated::high expression,0.0005591498777963904,positive
treated::age 55,0.000552017829723045,positive
treated::tps 60,0.0005511387244477746,positive
treated::age 63,0.0005495503479493851,positive
control::patel,0.0005421576218135331,positive
control::g12c tp53,0.0005418878319620164,positive
control::vaf 32,0.0005407901432810474,positive
treated::alvarez is,0.0005332571241182414,positive
control::r273c vaf,0.0005327220513731416,positive
treated::63,0.0005289276188897045,positive
control::m1,0.000527639762764543,positive
treated::iliac wing,0.0005267608605731202,positive
treated::wing,0.0005267608605731202,positive
treated::expression 50,0.0005256319350888179,positive
treated::alvarez age,0.000519582386495791,positive
treated::javier,0.0005191205026752967,positive
control::vi,0.000513496335221285,positive
control::segment vi,0.0005133425685359304,positive
treated::daniel,0.000511460837012,positive
treated::michael alvarez,0.0005094279700953055,positive
treated::50,0.000508868317976681,positive
control::66,0.000504772077751923,positive
treated::alex,0.000504349494512278,positive
treated::patient daniel,0.0004883762636559936,positive
