feature,coefficient,direction
appears,-0.49975523511307407,negative
132,-0.4824465555182531,negative
harold,-0.47166070469212806,negative
spo2 94,-0.4653114332867054,negative
132 78,-0.45946860605930095,negative
bp 132,-0.4538111303063196,negative
eleanor,-0.4388256691156275,negative
94 on,-0.43821690419066606,negative
oriented appears,-0.42030508441432113,negative
patient harold,-0.4184729974355844,negative
fatigued,-0.4150802043580976,negative
mitchell,-0.40654677821131247,negative
appears mildly,-0.3953771871887113,negative
94,-0.3904240477211911,negative
bp 128,-0.38643645769852797,negative
eleanor mitchell,-0.3855231180036211,negative
patient eleanor,-0.38294764084143984,negative
128,-0.38224987261133586,negative
given ecog,-0.3794957570762073,negative
advance,-0.3682507010336137,negative
nad appears,-0.3665921563951927,negative
18 min,-0.3623107374013641,negative
lytic lesions,-0.361879699527558,negative
care planning,-0.3589448937759777,negative
advance care,-0.35698348055421547,negative
osteoarthritis,-0.3565099474412888,negative
rr 18,-0.3510672676448934,negative
74,-0.34819531073408166,negative
whitaker,-0.3346006194288495,negative
copd,-0.33416281811032444,negative
plt 190,-0.3274628366221799,negative
mitchell age,-0.32363039804341676,negative
fatigue 70,-0.3128589148258269,negative
age 73,-0.31204062374616404,negative
daughter,-0.3116118736101664,negative
assistance,-0.30860518601086867,negative
dyspnea and,-0.3042515345794946,negative
appears fatigued,-0.3001308502620237,negative
ambulation,-0.300027396431984,negative
84,-0.2989545196136786,negative
age 84,-0.2965475426278589,negative
palliative care,-0.2951026639586333,negative
function 45,-0.29356509592765795,negative
obstructive pulmonary,-0.2934813316111644,negative
unable,-0.2926587172905561,negative
unable to,-0.2926587172905561,negative
requires assistance,-0.292050713533885,negative
carboplatin pemetrexed,-0.2897272932466094,negative
kg weight,-0.28873842409331024,negative
pemetrexed,-0.28845211007115434,negative
mildly fatigued,-0.2859205231314821,negative
82,-0.28550968913974434,negative
decreased appetite,-0.28474651580403515,negative
goals of,-0.2845816773086152,negative
care but,-0.28384938331789844,negative
age 82,-0.28270961787547394,negative
age 70,-0.2813929601052386,negative
chronic obstructive,-0.28077489265702893,negative
inhaler,-0.28032444441668175,negative
76,-0.2795264996721021,negative
field mild,-0.27937071200768304,negative
oxygen,-0.2786552984731255,negative
71,-0.2782263663299924,negative
status limited,-0.2779218114118577,negative
albuterol,-0.2768429234155744,negative
due to,-0.27642429833676513,negative
retired,-0.27591877433149625,negative
third line,-0.2725143325433634,negative
cane,-0.27197351994587604,negative
respiratory dyspnea,-0.2717627276441234,negative
but unable,-0.2717312003631719,negative
t7,-0.26812001979631894,negative
ecog limited,-0.2679171475778208,negative
128 72,-0.2669749044285211,negative
limited self,-0.2669067813486116,negative
died,-0.26487949552033463,negative
