feature,coefficient,direction
bp 132,-0.6115391404529331,negative
132 78,-0.6105464549615829,negative
132,-0.5787679025765416,negative
age 71,-0.5609974010167207,negative
history retired,-0.5505364739419182,negative
71,-0.5447533186729091,negative
age 75,-0.5405018568407403,negative
osteoarthritis,-0.5393205766683162,negative
miller,-0.5334749227585424,negative
77,-0.5138564379800384,negative
age 77,-0.5044649240057332,negative
kidney,-0.49823060459550306,negative
kidney disease,-0.49417913674409153,negative
chronic kidney,-0.49417913674409153,negative
age 86,-0.4899778816588652,negative
bp 128,-0.46754125084649634,negative
128,-0.4659531233667788,negative
age 78,-0.45726903417839626,negative
age 84,-0.4509311705574941,negative
crcl,-0.444611845158239,negative
miller age,-0.4231571086817493,negative
harold,-0.40553281423148396,negative
age 85,-0.4025645246145272,negative
john,-0.39711010691846504,negative
40 mg,-0.39279737529855896,negative
knees,-0.39124931489842807,negative
lisinopril 20,-0.39037127966604135,negative
age 73,-0.3899633846502941,negative
renal panel,-0.3873181429633878,negative
78 mother,-0.3858005840506281,negative
age 70,-0.385468079152879,negative
hypertension hyperlipidemia,-0.3849541185343604,negative
atorvastatin 40,-0.38373889138144224,negative
22 mg,-0.3777792081038659,negative
bun 22,-0.3723148546494118,negative
robert,-0.37136128614814373,negative
hyperlipidemia,-0.36998826679360547,negative
patient harold,-0.36581227538796723,negative
74,-0.3651769726969561,negative
bun 18,-0.35824424637303603,negative
patient john,-0.3514654215246832,negative
atorvastatin,-0.3512850770217224,negative
18 mg,-0.3512057016927685,negative
eleanor,-0.34950930391984114,negative
renal function,-0.34908698263172533,negative
dosing,-0.3478473159704444,negative
76,-0.3469859623701038,negative
retired,-0.34667786375680076,negative
71 year,-0.3431548549801915,negative
128 72,-0.34000151354473024,negative
daughter,-0.3395229330089071,negative
disease stage,-0.3371026305914697,negative
patient robert,-0.33662864925603,negative
osteoarthritis of,-0.3363457373888566,negative
john miller,-0.3355480993583263,negative
impairment,-0.33501345571377683,negative
died,-0.33347699895687494,negative
evelyn,-0.3324582264599713,negative
borderline,-0.3309607211851086,negative
of myocardial,-0.3298406054991147,negative
stage baseline,-0.32922620727017693,negative
94,-0.32835137179532436,negative
died of,-0.3272275894157822,negative
advance,-0.32287516487099815,negative
age 81,-0.32040869735441296,negative
30 pack,-0.3181000238998766,negative
smoker 30,-0.3165498866789518,negative
advance care,-0.31464266404891394,negative
care planning,-0.31464019861949866,negative
left lower,-0.314199756342133,negative
of knees,-0.31357968738969577,negative
