modifier,level_or_bin,n_pairs,treated_observed_outcome_rate,control_base_prob_mean,ridge_delta_prob_mean,ridge_pred_prob_mean,offset_logit_delta_mean,offset_logit_pred_prob_mean,true_treated_ite_prob_mean,true_pair_delta_prob_mean
histology_type,Adenocarcinoma,196,0.42857142857142855,0.4310887555274278,0.03383985237734363,0.4649286079047714,0.15274780211167532,0.46815530673175143,-0.12502008936112266,0.029887313596223163
histology_type,Large cell,19,0.5263157894736842,0.4265151062513699,0.04320364610172127,0.4697187523530911,0.15599834591556191,0.46440128722944146,0.1036701333735697,0.17245241983643753
histology_type,Other,45,0.6,0.4537789650345394,0.04652354687998649,0.5003025119145258,0.15444734387174255,0.4914655020103988,-0.014556257236675972,0.1248088394042148
histology_type,Squamous,104,0.49038461538461536,0.43665956319381066,0.037708831448628646,0.4743683946424394,0.15340924740777706,0.47403515366425836,-0.10081230752981515,0.08661224400570518
egfr_mutation_status,Negative,269,0.516728624535316,0.43581631094282586,0.03780108746041429,0.4736173984032401,0.15379207520600494,0.47324694519225324,-0.06469830548947032,0.09900532264207658
egfr_mutation_status,Positive,49,0.40816326530612246,0.43701209293459814,0.034784945353140806,0.47179703828773895,0.15130291233618692,0.47383380852116597,-0.11692515329624202,0.030485533399795907
egfr_mutation_status,Unknown,46,0.2826086956521739,0.4300358892053695,0.034691382021597536,0.46472727122696705,0.15268084904419094,0.46687789726261425,-0.22914217067934858,-0.09494874642985963
baseline_nlr,"(-2.56, 3.131]",91,0.6923076923076923,0.4397676511153781,0.03954566917578091,0.47931332029115903,0.1538807960010255,0.4773923479809034,0.07033905713259896,0.21580479543668102
baseline_nlr,"(3.131, 4.685]",91,0.4945054945054945,0.43847871459120985,0.036658813702203905,0.47513752829341377,0.1534993430050433,0.47584460845809207,-0.04716063401818259,0.0921575460867255
baseline_nlr,"(4.685, 6.458]",91,0.4175824175824176,0.4387534416008657,0.03689941491291094,0.4756528565137766,0.15264721417776025,0.47592062867653645,-0.1432080338532463,0.018790211039455433
baseline_nlr,"(6.458, 12.625]",91,0.2857142857142857,0.42398734764707907,0.034904436518432023,0.4588917841655111,0.1532389104526684,0.46092668025077016,-0.25001123035384487,-0.06566924935918002
brain_metastases_status,No,259,0.4092664092664093,0.42698774465441325,0.03305426504966367,0.4600420097040769,0.15301195543539184,0.4640760581055273,-0.15959276952781082,0.024547831845225455
brain_metastases_status,Unknown,22,0.8181818181818182,0.43591362689087737,0.03687381663440848,0.4727874435252858,0.15182622967782058,0.472884328976611,0.1877158547014632,0.3393531098872959
brain_metastases_status,Yes,83,0.5783132530120482,0.46084223426229093,0.049355178413601826,0.5101974126758927,0.15466212626798473,0.49877727543995765,0.042542915239004865,0.11969787621808621
baseline_hemoglobin,"(12.032, 13.119]",91,0.42857142857142855,0.42341914767233774,0.03372397490224201,0.4571431225745797,0.15310380130091378,0.46040981474344683,-0.09611932555860331,0.034583358264757204
baseline_hemoglobin,"(13.119, 14.157]",91,0.4065934065934066,0.4340883543811819,0.03598794691542495,0.4700763012966068,0.15285173344608077,0.471235560602715,-0.1069034702551182,0.007167765271463489
baseline_hemoglobin,"(14.157, 17.746]",91,0.5494505494505495,0.4554339402464486,0.03965490332907746,0.49508884357552607,0.15423914411973771,0.4931324487702327,-0.03680174211270227,0.08250966029143252
baseline_hemoglobin,"(7.074999999999999, 12.032]",91,0.5054945054945055,0.4280457126545644,0.03864150916258336,0.4666872218171478,0.15307158476976523,0.4653064412499075,-0.13021630316625105,0.1368225193760287
