feature,coefficient,direction
control::left iliac,-0.0010089520953046255,negative
control::iliac,-0.0007458290739718646,negative
control::age 79,-0.0007285290392410622,negative
control::79,-0.0006955461938363327,negative
treated::lobectomy,-0.0006821701937747783,negative
treated::adjuvant,-0.0006663210756882764,negative
control::lytic lesion,-0.000654109113713646,negative
treated::declined,-0.0006324889991651258,negative
treated::pemetrexed,-0.0006257507994838962,negative
treated::dry cough,-0.0006154759208385789,negative
control::squamous cell,-0.0006146034464326659,negative
control::bone metastasis,-0.000595303715325048,negative
treated::appears,-0.0005931434789842969,negative
control::78 year,-0.0005864365321169231,negative
treated::left upper,-0.0005830490605807393,negative
treated::four cycles,-0.0005822358757224511,negative
treated::harold,-0.0005813870373674948,negative
control::alendronate,-0.0005790215840235633,negative
treated::given ecog,-0.0005765376022377615,negative
control::cisplatin vinorelbine,-0.0005596095291426918,negative
treated::spo2 94,-0.0005586997961464586,negative
treated::age 73,-0.0005409033671179316,negative
treated::oriented appears,-0.0005383079819070358,negative
treated::cisplatin pemetrexed,-0.0005362235576760295,negative
treated::stage iiia,-0.0005351988910039375,negative
treated::94 on,-0.0005343839331397862,negative
treated::dry,-0.0005244077326740058,negative
treated::met copy,-0.0005177713623249633,negative
treated::patient harold,-0.0005166065373124122,negative
treated::iiia,-0.0005150149203358285,negative
treated::fatigued,-0.0005131233741709252,negative
treated::dyspnea and,-0.0005105968521321652,negative
treated::has declined,-0.0005095794856226846,negative
control::back pain,-0.0005047431066995468,negative
control::squamous nsclc,-0.0005030408413092159,negative
treated::nad appears,-0.0005029870324487195,negative
treated::due to,-0.0005014242520322673,negative
treated::observation,-0.000497416910478134,negative
treated::cisplatin,-0.0004899627370537735,negative
control::contrast performed,-0.0004884000059222558,negative
treated::lower lobectomy,-0.0004828181374100282,negative
treated::ambulation,-0.00048166462661170054,negative
treated::appears mildly,-0.00048096673748497905,negative
control::denosumab,-0.0004754734895879726,negative
treated::71,-0.0004748400219141188,negative
control::iliac wing,-0.0004715060090222245,negative
control::wing,-0.0004715060090222245,negative
treated::jensen,-0.0004703449391912685,negative
treated::decreased appetite,-0.00046849124404199356,negative
treated::lobectomy with,-0.00046601010074531085,negative
control::vinorelbine cycles,-0.0004644877094368808,negative
treated::harold jensen,-0.00046380385853311075,negative
treated::carboplatin,-0.0004620015961061855,negative
treated::dizziness or,-0.0004604870172134893,negative
treated::age 60,-0.0004601960546397936,negative
treated::94,-0.00045986366824427667,negative
treated::due,-0.0004597404089160741,negative
treated::post lobectomy,-0.0004578735562977217,negative
control::solitary lytic,-0.00045762716899650364,negative
treated::adjuvant cisplatin,-0.0004575231725056673,negative
control::hepatic metastases,-0.0004566106534583331,negative
control::crest,-0.00045640629137912105,negative
