feature,coefficient,direction
control::left iliac,-0.02947660612410001,negative
control::age 79,-0.022049247650022103,negative
control::iliac,-0.021531042287759664,negative
control::79,-0.020997949614099308,negative
treated::dry cough,-0.018838621150801736,negative
treated::declined,-0.018712246949627,negative
control::lytic lesion,-0.018527554779235372,negative
treated::lobectomy,-0.018332615431159507,negative
treated::adjuvant,-0.018072032703767525,negative
treated::pemetrexed,-0.018066962492202052,negative
control::78 year,-0.017963205140251456,negative
control::squamous cell,-0.017753698931663734,negative
treated::appears,-0.01746363866676477,negative
control::alendronate,-0.01737581859596941,negative
treated::harold,-0.017374782081775612,negative
treated::four cycles,-0.01730998143308758,negative
treated::left upper,-0.01727372979239022,negative
treated::given ecog,-0.017093925973808877,negative
control::bone metastasis,-0.016878385020178802,negative
treated::spo2 94,-0.016433525544757948,negative
treated::age 73,-0.016334873016486954,negative
treated::oriented appears,-0.015941475155898957,negative
treated::met copy,-0.01582718256613841,negative
treated::dry,-0.015822196348594077,negative
treated::observation,-0.015673090639845406,negative
treated::94 on,-0.015654520717631532,negative
control::cisplatin vinorelbine,-0.0155738127891183,negative
treated::patient harold,-0.015446399220003834,negative
treated::stage iiia,-0.015426870880568756,negative
treated::dyspnea and,-0.015210595251384832,negative
treated::cisplatin pemetrexed,-0.015049807902605378,negative
treated::nad appears,-0.015025540978654234,negative
treated::fatigued,-0.014987614423996574,negative
treated::has declined,-0.014934246041643923,negative
control::contrast performed,-0.01493262520898645,negative
treated::iiia,-0.014798134856072714,negative
treated::due to,-0.01463391116331978,negative
control::squamous nsclc,-0.014368588114753512,negative
control::back pain,-0.014217381249305243,negative
control::min bun,-0.014197800559986968,negative
treated::ambulation,-0.014136204788672849,negative
treated::jensen,-0.014118089172975384,negative
treated::71,-0.01405915336681412,negative
treated::carboplatin,-0.014035827240167019,negative
treated::appears mildly,-0.013966791456439549,negative
treated::harold jensen,-0.01392332903308659,negative
control::denosumab,-0.0138313837598286,negative
treated::age 60,-0.013810115376753342,negative
treated::lumbar,-0.013800176633415723,negative
control::from myocardial,-0.013781782816777218,negative
treated::decreased appetite,-0.013730261281699538,negative
control::iliac wing,-0.013695445474548302,negative
control::wing,-0.013695445474548302,negative
treated::dizziness or,-0.013658905717243191,negative
control::eleanor mitchell,-0.013650743694095427,negative
control::hepatic metastases,-0.01360655734990706,negative
treated::bp 128,-0.013491539333662752,negative
treated::due,-0.013358155202987325,negative
treated::128,-0.013350032671185662,negative
control::solitary lytic,-0.013349239832208308,negative
treated::94,-0.013340957007640337,negative
control::robert miller,-0.013303615802830284,negative
control::vinorelbine cycles,-0.01328848764494252,negative
treated::iv on,-0.01323587950180792,negative
treated::cisplatin,-0.013191332508219205,negative
treated::lower lobectomy,-0.013177689542053112,negative
control::fgfr1,-0.01316333503552351,negative
treated::decline,-0.013150013494065596,negative
treated::occasional dry,-0.01312873387567347,negative
control::iliac crest,-0.013069252960511216,negative
control::crest,-0.013069252960511216,negative
control::cell carcinoma,-0.012901646997288954,negative
treated::carboplatin pemetrexed,-0.012823976720549881,negative
control::osseous metastasis,-0.012820082672242725,negative
control::paraplatin,-0.012786255092145912,negative
treated::post lobectomy,-0.012773749248560352,negative
control::calcium,-0.012715146891131762,negative
control::age 73,-0.012688297908794412,negative
control::cough mild,-0.012687798691611183,negative
treated::kras wild,-0.012680805708737045,negative
treated::dyspnea 55,-0.012664235122694411,negative
control::john doe,-0.012567969686293777,negative
treated::pemetrexed cycles,-0.012440737942536027,negative
treated::every 21,-0.012436343447886428,negative
control::lymph μl,-0.012378642575340425,negative
treated::four,-0.012362847910397228,negative
control::age 80,-0.012346274157207088,negative
treated::appears fatigued,-0.01226942031389533,negative
treated::adjuvant cisplatin,-0.012232434494960559,negative
control::lobectomy no,-0.01220530461781417,negative
control::acquired pneumonia,-0.012172333544971332,negative
control::71,-0.012155732624796573,negative
control::min spo2,-0.012151512201196483,negative
treated::lobectomy with,-0.01213381232893437,negative
control::deceased from,-0.01210927040650552,negative
control::74,-0.012032529280114711,negative
control::calcium vitamin,-0.012027327580909774,negative
control::iv squamous,-0.012027207692341927,negative
treated::iiia right,-0.01198272182625908,negative
control::pneumothorax chest,-0.011965159120315675,negative
control::kg weight,-0.01192074743160457,negative
